遺産名	国名
ブダペスト：ドナウ河岸とブダ城地区、アンドラーシ通り	ハンガリー
ホローケーの伝統的集落とその周辺	ハンガリー
アグテレク・カルストとスロバキア・カルストの洞窟群	ハンガリー及びスロバキア
パンノンハルマのベネディクト会修道院とその自然環境	ハンガリー
ホルトバージ国立公園－プスタ	ハンガリー
ペーチ（ソピアナエ）の初期キリスト教墓所	ハンガリー
フェルテー（ノイジードル）湖の文化的景観	ハンガリー及びオーストリア
トカイ地方のワイン産地の歴史的文化的景観	ハンガリー
アントニ・ガウディの作品群	スペイン
アルハンブラ、ヘネラリーフェ、アルバイシン	スペイン
サグラダ・ファミリア	スペイン
パリのセーヌ河岸	フランス
モン・サン・ミシェルとその湾	フランス
ヴェルサイユの宮殿と庭園	フランス
ウェストミンスター宮殿、ウェストミンスター寺院及び聖マーガレット教会	イギリス
ロンドン塔	イギリス
ストーンヘンジ、エーヴベリーと関連遺跡群	イギリス
アクロポリス	ギリシャ
メテオラ	ギリシャ
ドゥブロヴニク旧市街	クロアチア
プリトヴィツェ湖群国立公園	クロアチア
プラハ歴史地区	チェコ
チェスキー・クルムロフ歴史地区	チェコ
ワルシャワ歴史地区	ポーランド
クラクフ歴史地区	ポーランド
ウィーン歴史地区	オーストリア
ザルツブルク市街の歴史地区	オーストリア
ベルン旧市街	スイス
ザンクト・ガレン修道院	スイス
タリン歴史地区	エストニア
リガ歴史地区	ラトビア
ヴィリニュス歴史地区	リトアニア
ヴァレッタ市街	マルタ
イスタンブール歴史地域	トルコ
